twotheta, yobs, ycal, bkg, diff
1.078000e+001,6.170000e+002,5.730067e+002,5.723593e+002,4.399329e+001
1.079000e+001,5.520000e+002,5.726162e+002,5.719679e+002,-2.061619e+001
1.080000e+001,5.530000e+002,5.722260e+002,5.715768e+002,-1.922597e+001
1.081000e+001,5.800000e+002,5.718360e+002,5.711860e+002,8.163966e+000
1.082000e+001,5.550000e+002,5.714464e+002,5.707955e+002,-1.644639e+001
1.083000e+001,5.450000e+002,5.710570e+002,5.704053e+002,-2.605704e+001
1.084000e+001,5.800000e+002,5.706680e+002,5.700153e+002,9.332015e+000
1.085000e+001,5.430000e+002,5.702792e+002,5.696257e+002,-2.727922e+001
1.086000e+001,5.470000e+002,5.698907e+002,5.692363e+002,-2.289074e+001
1.087000e+001,5.880000e+002,5.695026e+002,5.688473e+002,1.849744e+001
1.088000e+001,6.060000e+002,5.691147e+002,5.684585e+002,3.688534e+001
1.089000e+001,5.990000e+002,5.687271e+002,5.680700e+002,3.027294e+001
1.090000e+001,5.190000e+002,5.683397e+002,5.676818e+002,-4.933975e+001
1.091000e+001,5.530000e+002,5.679527e+002,5.672939e+002,-1.495273e+001
1.092000e+001,5.340000e+002,5.675660e+002,5.669063e+002,-3.356600e+001
1.093000e+001,5.360000e+002,5.671796e+002,5.665190e+002,-3.117955e+001
1.094000e+001,5.500000e+002,5.667934e+002,5.661319e+002,-1.679340e+001
1.095000e+001,5.520000e+002,5.664075e+002,5.657451e+002,-1.440754e+001
1.096000e+001,5.650000e+002,5.660220e+002,5.653587e+002,-1.021968e+000
1.097000e+001,5.750000e+002,5.656367e+002,5.649725e+002,9.363314e+000
1.098000e+001,5.700000e+002,5.652517e+002,5.645866e+002,4.748308e+000
1.099000e+001,5.850000e+002,5.648670e+002,5.642010e+002,2.013301e+001
1.100000e+001,5.660000e+002,5.644826e+002,5.638157e+002,1.517427e+000
1.101000e+001,5.760000e+002,5.640984e+002,5.634306e+002,1.190155e+001
1.102000e+001,5.850000e+002,5.637146e+002,5.630459e+002,2.128539e+001
1.103000e+001,5.540000e+002,5.633311e+002,5.626614e+002,-9.331061e+000
1.104000e+001,5.580000e+002,5.629478e+002,5.622773e+002,-4.947801e+000
1.105000e+001,5.480000e+002,5.625648e+002,5.618934e+002,-1.456483e+001
1.106000e+001,5.410000e+002,5.621821e+002,5.615098e+002,-2.118215e+001
1.107000e+001,5.430000e+002,5.617998e+002,5.611265e+002,-1.879975e+001
1.108000e+001,5.760000e+002,5.614176e+002,5.607435e+002,1.458236e+001
1.109000e+001,5.630000e+002,5.610358e+002,5.603607e+002,1.964177e+000
1.110000e+001,6.010000e+002,5.606543e+002,5.599783e+002,4.034571e+001
1.111000e+001,5.810000e+002,5.602730e+002,5.595961e+002,2.072695e+001
1.112000e+001,5.340000e+002,5.598921e+002,5.592142e+002,-2.589209e+001
1.113000e+001,5.640000e+002,5.595114e+002,5.588326e+002,4.488583e+000
1.114000e+001,5.400000e+002,5.591310e+002,5.584513e+002,-1.913103e+001
1.115000e+001,5.550000e+002,5.587509e+002,5.580703e+002,-3.750938e+000
1.116000e+001,5.650000e+002,5.583711e+002,5.576895e+002,6.628872e+000
1.117000e+001,5.400000e+002,5.579916e+002,5.573091e+002,-1.799160e+001
